ProjectID	BuildingID	AffordabilityBand	TotalUnits
48887	57693	Very Low Income	17
48755	72098	Moderate Income	108
49270	947270	Low Income	36
49270	947270	Other	1
48733	386227	Low Income	5
48733	386227	Very Low Income	2
48892	53714	Low Income	2
48892	53714	Very Low Income	9
49060	64260	Low Income	4
49060	52764	Low Income	19
49060	52764	Other	1
49060	95625	Low Income	4
49060	64510	Low Income	16
49060	64309	Low Income	6
48685	346832	Low Income	11
48685	346832	Other	1
48685	330794	Low Income	8
48685	346837	Low Income	7
48685	381637	Low Income	3
48685	317155	Low Income	9
48685	332710	Low Income	4
49576	945948	Low Income	68
49576	945948	Other	1
48690	744417	Low Income	43
49070	213832	Low Income	9
49070	334864	Low Income	4
49070	357677	Low Income	13
49070	357669	Low Income	5
49070	357675	Low Income	3
49070	357634	Low Income	6
49070	359775	Low Income	7
48765	19049	Low Income	8
48765	42524	Low Income	24
48765	822049	Low Income	80
48765	19048	Low Income	8
48765	19506	Low Income	21
48765	309680	Low Income	24
48765	85438	Low Income	21
48765	85441	Low Income	21
48765	28116	Low Income	11
48765	28117	Low Income	11
48765	28118	Low Income	10
48765	313693	Low Income	32
48765	313692	Moderate Income	28
48765	26937	Low Income	17
48765	24535	Low Income	34
48890	59889	Low Income	45
48686	32921	Low Income	307
48686	32921	Other	1
49103	59514	Low Income	54
49103	59514	Moderate Income	13
49103	59514	Other	1
49103	59514	Very Low Income	4
48896	216940	Extremely Low Income	97
48896	216940	Low Income	37
48896	216940	Very Low Income	1
48625	362389	Low Income	18
48625	362389	Very Low Income	1
48625	338754	Low Income	13
48625	338754	Other	1
48625	338754	Very Low Income	6
48625	232147	Low Income	4
48625	849296	Low Income	28
48625	849296	Other	1
48625	849296	Very Low Income	3
48625	339245	Low Income	4
48625	339245	Very Low Income	4
48632	5381	Low Income	25
48632	5381	Other	1
48632	5376	Low Income	25
48632	5374	Low Income	24
48632	5379	Low Income	24
48632	5379	Moderate Income	1
48788	9827	Extremely Low Income	4
48788	9827	Very Low Income	8
48657	88527	Low Income	45
48657	88527	Very Low Income	4
48657	115745	Low Income	65
48657	115745	Very Low Income	4
48657	88530	Low Income	59
48657	88530	Other	1
48657	118659	Low Income	10
48902	88267	Low Income	1
48902	88267	Very Low Income	14
48895	806382	Low Income	10
48895	806382	Very Low Income	2
48895	806380	Low Income	9
48895	806380	Very Low Income	3
48895	806379	Low Income	10
48895	806379	Very Low Income	2
48895	806384	Low Income	9
48895	806384	Very Low Income	3
48895	806383	Low Income	9
48895	806383	Very Low Income	3
48895	57674	Low Income	9
48895	57674	Very Low Income	3
48895	806381	Extremely Low Income	1
48895	806381	Low Income	10
48895	806381	Very Low Income	1
48752	110157	Very Low Income	137
48726	943722	Middle Income	288
48726	943722	Other	207
48726	943722	Very Low Income	124
46299	957262	Low Income	68
46299	957262	Other	1
46299	957262	Very Low Income	18
49534	945855	Low Income	83
49534	945855	Other	1
44369	976936	Low Income	10
44369	976936	Very Low Income	6
44369	927816	Low Income	3
44369	927816	Other	1
44369	927816	Very Low Income	3
44369	927815	Low Income	9
44369	927815	Very Low Income	5
44369	943963	Low Income	4
44369	943963	Very Low Income	3
44362	947316	Low Income	133
44362	947316	Other	1
48771	806302	Low Income	17
48771	64911	Low Income	15
48771	120450	Low Income	8
